,imagename,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
0,0968c_num1.png,2,2,2,1,2,2,3,2,1,2,2,3,2,2,1
1,0809c_num2.png,2,2,2,2,2,2,3,1,1,2,2,3,1,2,2
2,0237b_num6.png,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
3,0069b_num2.png,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
4,0966c_num4.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
5,1316a_num2.png,2,2,1,1,2,2,3,1,1,2,2,2,3,2,2
6,1503c_num2.png,2,1,2,2,2,2,2,1,1,3,2,2,3,2,2
7,0113c_num1.png,2,3,2,2,2,1,2,1,1,1,2,2,2,2,2
8,0221a_num6.png,2,2,2,2,2,1,1,1,1,4,1,2,3,1,2
9,0068a_num4.png,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2
10,1094b_num1.png,2,3,1,1,2,2,2,1,1,1,1,3,2,1,1
11,0337c_num6.png,2,2,2,2,2,2,3,1,1,2,2,3,2,2,2
12,0837a_num4.png,2,2,2,2,2,2,1,1,1,3,2,2,1,2,2
13,0941b_num3.png,2,2,2,2,2,2,2,1,1,1,2,3,2,1,2
14,0260a_num3.png,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2
15,0598c_num4.png,1,3,2,2,1,1,2,1,1,1,2,1,1,2,2
16,0380a_num2.png,2,2,2,2,2,2,4,1,1,2,1,3,2,1,2
17,0384b_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
18,1224a_num3.png,2,2,2,2,2,2,1,1,1,4,1,3,2,2,2
19,1131b_num3.png,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2
20,1393b_num1.png,1,3,2,1,2,2,2,1,1,2,1,3,2,1,2
21,0694b_num1.png,2,1,2,2,2,2,2,1,1,2,2,2,4,1,2
22,0480c_num1.png,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2
23,0304b_num1.png,1,2,3,2,2,2,2,2,1,2,2,2,2,1,2
24,1372b_num2.png,1,3,2,2,2,1,1,1,1,2,2,2,1,2,2
25,0338c_num1.png,1,2,2,2,2,2,1,1,1,4,2,3,1,2,2
26,1045a_num6.png,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2
27,0287a_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
28,0352a_num3.png,1,1,2,2,2,2,2,2,2,1,2,3,2,1,1
29,1001a_num3.png,1,2,2,2,2,2,4,1,1,4,1,3,1,1,2
30,0004bb_num1.png,2,3,1,1,2,2,1,1,1,4,1,3,2,1,2
31,0828c_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
32,0669c_num1.png,1,2,2,2,2,2,2,2,1,2,2,3,3,2,2
33,0598b_num2.png,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2
34,0676cc_num1.png,2,2,2,2,2,1,4,1,1,3,2,2,1,1,2
35,1140c_num1.png,2,2,3,2,2,2,1,1,1,2,2,2,2,1,2
36,1130c_num2.png,1,2,3,3,2,1,1,1,1,4,2,2,1,2,2
37,0505b_num1.png,2,2,3,2,2,1,1,1,1,2,2,2,1,1,2
38,0370c_num2.png,2,2,2,2,2,2,3,1,2,2,2,2,3,1,2
39,0085a_num1.png,1,3,2,2,2,1,1,1,1,2,2,1,1,1,2
40,0968a_num1.png,2,1,2,2,2,2,3,2,1,2,2,2,2,1,2
41,0038b_num5.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
42,1225a_num1.png,1,2,2,3,2,2,1,1,2,2,1,1,2,1,1
43,1216c_num3.png,2,3,2,2,2,1,1,1,1,4,2,3,2,1,2
44,0060a_num2.png,2,2,2,2,2,1,2,2,1,4,2,2,2,1,2
45,0503b_num2.png,1,2,2,2,2,2,2,1,1,1,2,3,3,1,2
46,0387a_num5.png,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
47,0716a_num3.png,2,2,2,3,2,2,1,1,1,2,2,2,1,1,2
48,0616a_num1.png,2,1,2,2,2,2,3,2,2,3,2,3,2,1,2
49,0630a_num2.png,1,2,2,2,2,1,1,1,1,2,2,3,2,1,2
50,0748a_num2.png,1,2,2,2,2,1,2,1,1,4,2,2,4,1,2
51,1219c_num4.png,2,2,1,2,2,2,3,1,1,2,2,3,4,1,2
52,0461b_num3.png,2,2,2,3,2,2,3,1,1,2,2,3,4,2,2
53,0435b_num4.png,2,2,2,2,2,2,1,1,1,2,2,3,4,2,2
54,0314a_num2.png,2,2,2,2,2,2,3,1,1,2,2,2,2,1,2
55,0038a_num2.png,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2
56,1560a_num1.png,2,2,3,3,2,1,2,1,1,2,2,1,1,2,2
57,1049a_num1.png,1,2,2,2,2,2,1,1,1,4,2,2,2,1,1
58,0644c_num3.png,2,1,3,2,2,2,1,1,1,3,2,3,2,1,1
59,0105b_num1.png,1,2,3,2,2,1,2,1,1,2,1,2,1,1,2
60,1142c_num5.png,1,2,2,2,2,2,1,1,1,4,1,3,4,1,2
61,0809b_num2.png,2,2,2,2,2,2,1,1,1,3,2,3,4,1,2
62,1194c_num4.png,2,2,2,2,2,2,2,1,1,3,2,3,3,2,2
63,1556a_num6.png,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2
64,1270c_num4.png,1,3,3,3,2,1,1,1,1,4,2,2,1,1,2
65,1169c_num3.png,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1
66,0497a_num5.png,1,2,3,2,2,2,1,1,1,2,2,1,1,2,2
67,1196b_num1.png,2,2,2,2,2,2,1,2,1,2,2,3,4,2,2
68,0569a_num5.png,1,2,2,2,2,2,2,1,1,3,2,3,3,1,2
69,1166a_num2.png,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2
70,1358c_num1.png,2,3,1,2,2,2,3,1,1,1,1,3,3,1,2
71,0249b_num2.png,2,2,2,1,2,1,3,1,1,4,1,2,2,1,1
72,1413c_num1.png,2,2,2,2,2,2,1,1,1,2,2,3,3,1,2
73,0248b_num3.png,1,1,3,2,2,2,1,2,1,2,1,3,2,1,1
74,0256a_num3.png,1,1,1,2,2,2,1,2,1,1,1,3,3,1,2
75,0063a_num2.png,1,2,1,2,2,2,3,1,1,2,2,3,4,1,1
76,0550a_num2.png,2,3,1,1,2,2,2,2,1,2,1,2,2,1,1
77,0454b_num5.png,1,2,3,2,2,2,1,1,1,1,1,2,1,1,2
78,0560c_num4.png,1,1,2,2,2,1,2,1,1,2,2,3,4,2,2
79,0787b_num3.png,1,2,3,3,2,2,1,1,1,4,1,2,2,1,1
80,0608a_num4.png,2,2,1,1,2,2,1,1,1,4,2,3,3,1,2
81,0187b_num3.png,2,3,1,1,2,1,1,1,1,2,1,1,2,1,1
82,0895a_num1.png,1,3,2,2,2,1,1,1,1,4,2,2,1,1,2
83,1005a_num1.png,1,3,2,2,2,1,3,1,1,3,2,2,3,1,2
84,0035a_num1.png,2,3,2,3,2,2,2,2,1,2,2,3,1,1,2
85,1452c_num1.png,1,2,2,2,2,2,3,1,1,2,1,3,1,1,2
86,0397c_num6.png,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
87,0504b_num1.png,2,2,2,3,2,2,1,1,1,2,2,2,1,1,2
88,1109c_num5.png,2,2,2,2,2,2,1,1,1,2,2,3,4,2,2
89,1371a_num1.png,2,2,2,2,2,2,1,2,1,2,2,2,3,2,2
90,1029a_num1.png,2,2,2,2,2,2,1,1,1,3,2,3,4,2,2
91,0047b_num6.png,2,2,2,2,2,2,1,1,1,1,2,3,2,2,2
